Design No.,Contractor,Mix Type,Grade,Binder Content,Binder Type,Traffic Level,FLc,Flf,AL,GA,HN,IL,JA,KY,MX,NS,NB,QC,SC,TN,AL2,GA2,HN2,IL2,JA2,KY2,MX2,NS2,NB2,QC2,SC2,TN2,Sand,RAP,BLEND SUM,Design No.
0213A,Ranger Construction,SP 12.5,Fine,5.6,AC 20,4 ,30.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 98 0213A
0214A,White Construction Co.,SP 12.5,Fine,7.0,AC 20,4 ,0.00,30.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,25.00,100.00,SP 98 0214A
0215A,Asphalt Pavers Inc.,SP 12.5,Fine,7.0,AC 30,4 ,38.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,100.00,SP 98 0215A
0216A,Asphalt Pavers Inc.,SP 12.5,Fine,6.4,AC 20,4 ,35.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 98 0216A
0217A,White Construction Co.,SP 9.5,Fine,8.0,RA 1475,4 ,0.00,40.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,100.00,SP 99 0217A
0218A,White Construction Co.,SP 9.5,Fine,8.0,AC 30,4 ,30.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 99 0218A
0219A,Better Roads Inc.,SP 12.5,Fine,6.6,RA 1425 ,4 ,45.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 99 0219A
0220A,Anderson Columbia,SP 12.5,Fine,6.8,AC 30,3 ,0.00,27.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 99 0220A
0221A,Anderson Columbia,SP 19.0,Coarse,5.5,AC 30,5 ,0.00,15.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 99 0221A
0222A,Anderson Columbia,SP 19.0,Fine,6.0,AC 30,3 ,0.00,22.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,100.00,SP 99 0222A
0223A,APAC Central Fla. Division,SP 9.5,Coarse,5.5,AC 30,5 ,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,100.00,SP 99 0223A
0224A,Pavex Corporation,SP 9.5,Coarse,7.7,AC 30,5 ,40.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0224A
0225A,White Construction Co.,SP 9.5,Fine,8.8,AC 20,4 ,25.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,25.00,100.00,SP 99 0225A
0226A,White Construction Co.,SP 12.5,Fine,8.4,AC 20,4 ,25.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,25.00,100.00,SP 99 0226A
0227A,Community Asphalt Corp.,SP 9.5,Fine,7.1,AC 30,3 ,40.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,SP 99 0227A
0228A,APAC Central Fla. Division,SP 12.5,Fine,7.5,AC 30,4 ,45.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0228A
0229A,C.W. Roberts Contracting,SP 12.5,Fine,6.8,AC 20,4 ,38.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,22.00,100.00,SP 99 0229A
0230A,APAC First Coast Division,SP 12.5,Coarse,5.4,AC 20,5 ,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 99 0230A
0231A,Ajax Paving Industries Inc.,SP 9.5,Fine,6.6,AC 30,4 ,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 99 0231A
0232A,APAC Central Fla. Division,SP 12.5,Fine,5.2,AC 30,2 ,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,100.00,SP 99 0232A
0233A,Grubbs Construction,SP 12.5,Fine,7.0,AC 30,2 ,27.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,100.00,SP 99 0233A
0234A,Anderson Columbia,SP 9.5,Fine,7.6,AC 30,4 ,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 99 0234A
0235A,Anderson Columbia,SP 12.5,Fine,6.8,AC 20,4 ,0.00,25.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 99 0235A
0236A,APAC Central Fla. Division,SP 12.5,Fine,6.4,AC 30,4 ,12.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,SP 99 0236A
0237A,APAC Central Fla. Division,FC 6,Coarse,6.7,ARB 5,4 ,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0237A
0238A,Anderson Columbia,SP 9.5,Fine,7.5,AC 30,3 ,0.00,34.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 99 0238A
0239A,D.A.B. Constructors,SP 19.0,Fine,6.0,AC 20,4 ,40.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 99 0239A
0240A,D.A.B. Constructors,SP 12.5,Fine,6.6,AC 20,4 ,25.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,20.00,100.00,SP 99 0240A
0241A,D.A.B. Constructors,SP 9.5,Fine,7.4,AC 30,4 ,20.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,20.00,100.00,SP 99 0241A
0242A,Anderson Columbia,SP 9.5,Fine,8.0,AC 30,4 ,0.00,33.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 99 0242A
0243A,Anderson Columbia,SP 12.5,Fine,7.3,AC 30,4 ,0.00,30.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 99 0243A
0244A,Anderson Columbia,SP 19.0,Fine,6.4,AC 30,4 ,0.00,28.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 99 0244A
0246A,Anderson Columbia,SP 19.0,Coarse,6.5,AC 30,5 ,0.00,28.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0246A
0247A,Anderson Columbia,SP 12.5,Coarse,7.1,AC 30,5 ,0.00,35.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0247A
0248A,Anderson Columbia,SP 9.5,Coarse,7.5,AC 30,5 ,0.00,38.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0248A
0249A,Community Asphalt Corp.,SP 12.5,Fine,5.8,AC 30,3 ,43.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 99 0249A
0250A,D.A.B. Constructors,SP 12.5,Fine,6.9,AC 30,2 ,25.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,20.00,100.00,SP 99 0250A
0251A,D.A.B. Constructors,SP 9.5,Fine,7.2,AC 30,2 ,20.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,20.00,100.00,SP 99 0251A
0252A,Milestone Company,SP 12.5,Fine,5.7,RA 1525,4 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 99 0252A
0255A,APAC Central Fla. Division,SP 12.5,Fine,6.5,AC 20,4 ,35.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 99 0255A
0256A,Anderson Columbia,SP 12.5,Fine,6.8,AC 30,4 ,0.00,27.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 99 0256A
0257A,APAC Central Fla. Division,SP 9.5,Fine,7.5,AC 30,4 ,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SP 99 0257A
0259A,White Construction Co.,SP 12.5,Fine,8.4,AC 20,3 ,25.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,25.00,100.00,SP 99 0259A
0260A,Anderson Columbia,SP 9.5,Coarse,6.0,AC 30,5 ,0.00,10.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 99 0260A
0261A,C.W. Roberts Contracting,SP 9.5,Fine,7.2,AC 20,4 ,35.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,25.00,100.00,SP 99 0261A
0262A,APAC Central Fla. Division,SP 12.5,Fine,6.5,AC 30,4 ,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,15.00,100.00,SP 99 0262A
0263A,APAC Central Fla. Division,SP 9.5,Fine,7.5,AC 20,4 ,25.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 99 0263A
0264A,APAC Central Fla. Division,SP 19.0,Coarse,4.7,AC 20,5 ,0.00,0.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 99 0264A
0265A,APAC Central Fla. Division,SP 12.5,Fine,6.4,AC 30,4 ,12.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,SP 99 0265A
0267A,Pavex Corporation,SP 9.5,Fine,7.6,AC 30,4 ,40.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0267A
0268A,Pavex Corporation,SP 12.5,Fine,6.5,RA 1500,4 ,40.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 99 0267A
0269A,Pavex Corporation,SP 9.5,Fine,7.0,AC 20,4 ,35.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 99 0269A
0270A,D.A.B. Constructors,SP 19.0,Coarse,6.7,AC 30,5 ,66.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0270A
0271A,D.A.B. Constructors,SP 12.5,Coarse,7.5,AC 30,5 ,52.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0271A
0272A,D.A.B. Constructors,SP 9.5,Coarse,8.5,AC 30,5 ,40.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0272A
0273A,White Construction Co.,SP 12.5,Fine,7.9,AC 30,3 ,30.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,25.00,100.00,SP 99 0273A
0274A,White Construction Co.,SP 9.5,Fine,8.5,AC 30,3 ,34.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,100.00,SP 99 0274A
0275A,Anderson Columbia,SP 9.5,Fine,7.7,AC 20,4 ,0.00,30.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 99 0275A
0276A,Anderson Columbia,SP 12.5,Fine,6.3,AC 30,4 ,0.00,23.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 99 0276A
0277A,Orlando Paving Co.,FC 6,Fine,7.1,ARB 5,4 ,48.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0277A
0278A,Community Asphalt Corp.,SP 9.5,Fine,7.1,AC 30,4 ,40.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,SP 99 0278A
0279A,D.A.B. Constructors,SP 9.5,Fine,8.0,AC 30,4 ,33.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,100.00,SP 99 0279A
0280A,White Construction Co.,SP 9.5,Fine,8.8,AC 20,3 ,25.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,25.00,100.00,SP 99 0280A
0281A,D.A.B. Constructors,FC 6,Fine,6.7,ARB 5,4 ,50.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 99 0281A
0283A,White Construction Co.,SP 12.5,Fine,7.9,AC 30,4 ,30.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,25.00,100.00,SP 99 0283A
0285A,D.A.B. Constructors,SP 19.0,Fine,6.5,AC 30,4 ,45.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 99 0285A
0286A,V.E. Whitehurst & Sons,FC 6,Fine,7.8,ARB 5,4 ,30.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 99 0286A
0287A,APAC Central Fla. Division,SP 12.5,Fine,5.2,AC 30,4 ,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 99 0287A
0288A,APAC Gulf Coast Division,SP 9.5,Fine,5.8,AC 30,3 ,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 99 0288A
0289A,D.A.B. Constructors,SP 12.5,Fine,6.8,AC 30,2 ,42.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,100.00,SP 99 0289A
0290A,Anderson Columbia,SP 12.5,Coarse,7.5,AC 30,5 ,65.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 99 0290A
0291A,Anderson Columbia,SP 12.5,Coarse,7.0,AC 30,5 ,67.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 99 0291A
0292A,Anderson Columbia,SP 12.5,Fine,6.7,AC 20,4 ,27.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,20.00,100.00,SP 99 0292A
0293A,Atlantic Coast Asphalt,SP 12.5,Fine,4.8,AC 30,4 ,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,11.00,0.00,100.00,SP 99 0293A
0294A,Milestone Company,FC 6,Fine,5.5,ARB 5,4 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 99 0294A
0295A,APAC Gulf Coast Division,SP 12.5,Fine,5.4,AC 30,3 ,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,100.00,SP 99 0295A
0296A,APAC Gulf Coast Division,SP 12.5,Coarse,5.0,AC 30,3 ,0.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,100.00,SP 99 0296A
0297A,Orlando Paving Co.,SP 9.5,Coarse,7.2,AC 30,5 ,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0297A
0298A,Community Asphalt Corp.,SP 9.5,Coarse,6.5,AC 30,5 ,50.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 99 0298A
0299A,Anderson Columbia,SP 9.5,Fine,6.9,AC 20,4 ,0.00,20.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 99 0299A
0300A,Anderson Columbia,FC 6,Fine,8.5,ARB 5,4 ,47.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0300A
0301A,Anderson Columbia,FC 6,Fine,7.0,ARB 5,4 ,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0301A
0302A,White Construction Co.,SP 9.5,Fine,8.5,AC 30,4 ,34.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,100.00,SP 99 0302A
0304A,Anderson Columbia,SP 12.5,Fine,8.5,AC 30,4 ,47.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 99 0304A
